,pair1,pair2,weight
0,149,125,1.3009550430934078
1,178,125,0.726764500349406
2,418,380,0.7954810156068017
3,592,556,1.334730957372467
4,594,592,1.0959701840204985
5,623,556,2.818541812252504
6,767,764,1.7971115769857908
7,882,878,0.9480549732122059
8,885,878,1.8530165385511297
9,885,882,0.8129513160959702
10,905,885,1.0598648963428838
11,1317,1285,0.7535522944327976
12,1373,1370,1.466340554390869
13,1396,1373,0.9096203121360353
14,1396,1370,1.0097833682739343
15,1523,1515,0.7465641742371303
16,1553,1548,1.232238527836012
17,1649,1562,0.8618681574656417
18,1855,1835,1.3265781504775216
19,1855,1801,1.2159329140461215
20,1926,1835,1.4104355928255299
21,1935,1930,0.9177731190309807
22,1959,1935,0.7861635220125786
23,2013,1872,0.9049615653389238
24,2022,1977,0.7884928954111343
25,2032,1835,3.5406475658047984
26,2036,1872,0.7698579082226881
27,2036,2013,0.8327509899836943
28,2101,2036,0.8968087584439786
29,2105,1945,1.001630561378989
30,2105,1835,0.9899836943862101
31,2105,2032,1.2601910086186816
32,2107,2036,0.7453994875378523
33,2136,1835,1.684136967155835
34,2136,2032,2.700908455625437
35,2194,2171,0.7500582343349639
36,2215,2032,1.5036105287677615
37,2215,2136,1.5828092243186584
38,2221,2171,1.638714185883997
39,2256,2171,1.0563708362450501
40,2256,2221,1.0179361751688796
41,2261,2136,0.725599813650128
42,2261,2215,0.9003028185418123
43,2344,2340,1.0423945958537153
44,2352,2136,0.7209410668530165
45,2353,2340,1.8343815513626835
46,2367,2340,0.7034707663638482
47,2380,2353,0.8758443978569764
48,2380,2340,1.0878173771255533
49,2395,2373,0.7686932215234101
50,2398,2353,1.7307244351269508
51,2398,2340,1.0156068017703237
52,2400,2395,1.530398322851153
53,2404,2398,0.7593757279291871
54,2404,2340,0.704635453063126
55,2405,2403,1.3021197297926856
56,2461,2395,2.9093873747961796
57,2461,2405,2.914046121593291
58,2461,2403,0.7349173072443513
59,2463,2395,1.3067784765897974
60,2468,2398,0.8152806894945259
61,2472,2395,3.1097134870719776
62,2472,2463,1.2368972746331237
63,2488,2395,2.662473794549266
64,2488,2472,3.5522944327975776
65,2488,2463,0.859538784067086
66,2489,2398,1.3277428371767994
67,2501,2489,1.1868157465641742
68,2501,2398,0.9771721406941534
69,2530,2405,1.6154204518984394
70,2530,2461,1.1390635918937806
71,2546,2472,0.9294199860237596
72,2587,2571,1.0773351968320521
73,2617,2395,1.297460982995574
74,2617,2472,1.9531795946890287
75,2617,2461,1.013277428371768
76,2617,2488,3.170277195434428
77,2654,2472,1.67598416026089
78,2654,2488,0.7628697880270208
79,2696,2673,2.6286978802702072
80,2698,2617,5.0
81,2698,2472,0.8770090845562544
82,2698,2488,2.410901467505241
83,2755,2673,1.1798276263685068
84,2771,2488,0.7675285348241323
85,2755,2696,1.1530398322851152
86,2799,2617,1.5863032844164922
87,2799,2698,1.5350570696482646
88,2799,2488,1.5863032844164922
89,2854,2848,1.0144421150710459
90,2856,2673,0.9993011879804332
91,2882,2854,0.7384113673421849
92,2882,2848,0.8502212904728628
93,2905,2673,1.1833216864663405
94,2913,2905,1.0773351968320521
95,2913,2673,1.2462147682273468
96,2918,2893,1.9100861868157466
97,2976,2915,0.9061262520382017
98,2977,2976,0.8117866293966923
99,2977,2915,1.3859771721406942
100,3028,3016,0.7453994875378523
101,3061,3016,0.7931516422082461
102,3061,3032,0.969019333799208
103,3075,2617,0.8863265781504776
104,3075,2698,1.43256464011181
105,3110,2698,1.3580246913580245
106,3110,3075,1.1588632657815048
107,3154,3032,0.7721872816212438
108,3154,3145,1.367342184952248
109,3191,3154,0.9445609131143723
110,3191,3145,0.9515490333100396
111,3251,3217,0.8047985092010248
112,3266,3182,4.035639412997903
113,3302,3217,1.0179361751688796
114,3339,3302,2.620545073375262
115,3368,3339,0.7838341486140228
116,3383,3368,1.5280689494525972
117,3383,3339,2.190775681341719
118,3368,3302,1.5688329839273236
119,3383,3302,2.204751921733054
120,3409,3368,1.1495457721872817
121,3431,3368,1.1856510598648964
122,3431,3339,2.2396925227113904
123,3431,3383,1.7377125553226183
124,3431,3302,0.9736780805963196
125,3409,3383,1.276496622408572
126,3443,3368,0.7034707663638482
127,3409,3302,0.7721872816212438
128,3470,3431,0.8560447239692524
129,3470,3339,0.7978103890053576
130,3558,3302,0.7058001397624039
131,3558,3368,0.7011413929652923
132,3580,3368,0.8152806894945259
133,3617,3590,1.2613556953179594
134,3631,3302,0.9888190076869321
135,3723,3685,0.9864896342883764
136,4019,3953,2.1511763335662706
137,4258,4243,1.081993943629164
138,4458,4433,1.0272536687631026
139,4772,4732,1.1856510598648964
140,4854,4844,1.2683438155136266
141,4859,4844,1.178662939669229
142,4859,4854,1.2264150943396226
143,4907,4854,1.4954577218728162
144,4917,4907,2.51106452364314
145,4917,4854,1.4477055672024224
146,5027,4917,1.232238527836012
147,5027,4907,1.232238527836012
148,5202,5194,0.9864896342883764
149,5699,5665,0.9131143722338692
150,5739,5724,0.7628697880270208
151,7158,7157,2.236198462613557
152,7467,7157,1.000465874679711
153,7948,7943,0.8013044491031912
154,8007,7943,1.3894712322385279
155,9130,9129,0.7640344747262986
156,9194,9129,0.9317493594223154
157,12791,12783,0.7873282087118565
158,12792,12783,0.8851618914511996
159,12796,12792,0.716282320055905
160,12796,12783,0.7523876077335196
161,13198,13195,0.9631959003028185
